Cutting_Speed_m_per_min,Feed_Rate_mm_per_rev,Depth_of_Cut_mm,Spindle_Load_%,Material type,Operation time,Coolant_Flow_LPM,Ambient_Temp_C,Tool_Wear_mm,machine type,energyusage
244.3752584,0.919713883,0.206934644,48.87505168,Brass,8.075894014,31.05217293,20.05928215,0.017417584,B,1.596
181.0531131,0.08224868,3.352569462,36.21062262,Titanium,40.26919291,34.12254974,25.92440755,0.015145696,D,1.25
325.3338026,0.712549254,4.820632728,65.06676053,Brass,17.85912461,35.90987353,28.47406135,0.016437928,B,1.351
112.7722373,0.332481557,2.844824099,22.55444746,Brass,24.47450958,39.93814949,23.56899887,0.013026961,B,1.726
181.4650918,0.928176386,4.690430064,36.29301837,Copper,35.84497474,19.01026593,21.08289356,0.016077237,E,1.168
214.8628295,0.972505333,0.356063609,42.9725659,Steel,19.96052707,30.54996304,24.2087725,0.022428311,C,1.004
255.2314929,0.947053165,2.152087263,51.04629858,Brass,7.546354527,49.17105634,27.27104449,0.017527896,B,1.202
403.3291826,0.500503506,1.374773176,80.66583653,Steel,21.82644712,45.41648768,21.0730121,0.017045124,C,1.106
139.853202,0.868940518,3.681022728,27.97064039,Aluminium,47.50018622,47.86994426,22.0604856,0.015151531,A,1.682
281.4054973,0.852321929,4.908355743,56.28109946,Copper,33.87804788,22.37613793,21.47551847,0.023099118,E,1.386
316.586556,0.35314545,1.356997306,63.3173112,Copper,35.21656169,40.41176477,27.96947756,0.011724189,E,1.76
70.90268572,0.8374697,3.305455547,14.18053714,Titanium,33.45269691,32.89540783,20.62892622,0.01440857,D,1.164
323.3951834,0.085157253,1.070678401,64.67903667,Brass,13.95464625,8.723078738,26.86586502,0.012017652,B,1.086
126.7358557,0.616456385,2.870118247,25.34717113,Steel,23.82502388,42.07911751,23.66456921,0.020002425,C,1.398
79.27321684,0.268508395,2.373269185,15.85464337,Brass,38.79229093,35.46955744,27.55791243,0.025188027,B,0.967
476.9984918,0.164538541,4.862826115,95.39969835,Aluminium,9.56178039,13.95128118,29.64383419,0.017935602,A,1.325
484.5344149,0.123105542,3.081783636,96.90688298,Copper,17.50337492,8.588235084,21.145453,0.014522842,E,1.841
413.7788067,0.711474337,1.812581223,82.75576133,Steel,17.43435988,42.66599588,23.14385041,0.028342393,C,1.508
187.0761961,0.372881216,0.659069346,37.41523923,Titanium,24.44085174,8.550582327,28.10125428,0.022706866,D,1.755
93.9524513,0.738528433,0.841109461,18.79049026,Steel,49.11659334,9.110923941,22.66158386,0.022128361,C,1.235
357.9048619,0.112088524,1.204052957,71.58097239,Aluminium,8.037614601,24.23337296,22.15120597,0.020080078,A,1.223
248.0686222,0.349525821,1.329736641,49.61372444,Steel,28.34154475,11.06590228,28.25377978,0.024666392,C,0.927
104.9172057,0.562516728,4.268018683,20.98344114,Steel,13.07141069,46.11513188,29.87082364,0.022920889,C,1.58
272.8296096,0.801187007,2.849991663,54.56592191,Aluminium,48.68044454,26.16277713,25.5688059,0.01949556,A,1.81
65.4748345,0.352814878,2.664615466,13.0949669,Brass,10.09865771,30.61179413,22.78048748,0.020623179,B,1.46
459.1941809,0.644596808,0.662367472,91.83883619,Brass,23.16204511,46.76477403,23.98565962,0.017383048,B,1.126
166.4509917,0.891678861,4.314684497,33.29019834,Steel,38.20482432,28.86184515,21.70130327,0.017049947,C,1.115
348.135028,0.635070029,3.641790086,69.62700559,Aluminium,36.70494926,20.91160157,27.61887279,0.021579802,A,1.343
190.2699842,0.271311501,0.431574973,38.05399685,Titanium,24.02278866,40.87197976,27.73474018,0.029124428,D,1.414
284.0306095,0.073180742,3.568391976,56.80612191,Aluminium,20.59358756,24.92825889,28.75120992,0.018472828,A,1.489
296.0196257,0.87659393,2.763337265,59.20392514,Copper,22.89255703,19.33112415,20.26602564,0.028115784,E,1.35
133.184505,0.07020594,0.500454194,26.636901,Steel,16.89243184,37.54532564,25.61981342,0.02022955,C,1.167
486.3130825,0.880966589,2.345673143,97.2626165,Steel,14.23998224,41.07225545,22.14255434,0.015581499,C,1.431
398.8097705,0.552490277,2.475011807,79.7619541,Steel,26.73678639,40.62722754,23.40883015,0.027537804,C,1.461
472.7745237,0.942114314,0.912295247,94.55490474,Steel,17.08401902,48.99534864,27.84955615,0.033238936,C,1.558
452.6723077,0.808844074,4.73392092,90.53446154,Brass,17.93577492,40.4000127,21.92033652,0.02110671,B,1.467
319.0549905,0.998037405,4.26487932,63.81099809,Brass,34.55402286,39.64700462,26.38341751,0.017826321,B,1.271
464.8434058,0.383176225,3.378209453,92.96868115,Titanium,48.58417993,43.58683642,26.54566191,0.02824054,D,1.353
89.82162592,0.778828874,2.365248249,17.96432518,Steel,32.16367403,5.008333788,29.54093915,0.021640385,C,1.191
138.1922881,0.431834368,2.117651154,27.63845762,Brass,8.464076018,21.3094135,27.75160929,0.029229779,B,1.438
70.35228001,0.505881839,3.289769989,14.070456,Copper,8.401262623,38.19213932,28.03635147,0.032594235,E,1.549
196.3986488,0.64613019,2.77261616,39.27972977,Aluminium,47.81404494,31.9873555,25.31600749,0.028780215,A,1.283
224.9047804,0.879993258,0.405138219,44.98095607,Copper,18.37808556,12.99074012,21.86780807,0.031466259,E,1.485
172.1070643,0.984879296,2.611262979,34.42141286,Aluminium,9.143014374,18.66798901,24.25563366,0.031790768,A,1.412
422.9318791,0.779859743,4.051377724,84.58637582,Aluminium,31.95700642,20.1556675,25.49489574,0.032947732,A,1.169
210.538997,0.446878443,2.3502754,42.1077994,Brass,33.06419502,30.552265,26.78419252,0.028514342,B,0.897
176.4205294,0.450289152,0.35458723,35.28410587,Copper,34.18271691,42.42192334,26.07709112,0.032473961,E,1.302
294.2132374,0.750703187,3.952763177,58.84264748,Aluminium,17.03309125,46.96213009,23.93977829,0.029690878,A,1.487
113.4159012,0.276838288,1.086682532,22.68318025,Steel,5.67998079,38.75415858,22.65313107,0.03111576,C,1.124
410.9886413,0.154950407,1.367242091,82.19772827,Aluminium,48.42569163,42.93276756,21.68230843,0.044708006,A,1.568
83.54778966,0.38689105,0.907061132,16.70955793,Steel,16.29018706,26.15431813,26.93845386,0.030947742,C,1.406
494.0991215,0.322877042,1.718053818,98.81982429,Brass,35.42118296,22.53988938,26.45398674,0.02254123,B,1.878
397.5101462,0.331492714,3.808082378,79.50202924,Steel,36.79834414,22.67188395,26.87372466,0.029333224,C,1.241
139.4220567,0.271927363,2.644990712,27.88441134,Copper,32.45033377,32.72173378,23.72527453,0.029057982,E,1.691
52.48495271,0.08998853,1.103918243,10.49699054,Titanium,19.08083274,10.59065175,22.62407823,0.029576933,D,1.393
416.9576428,0.066980238,4.401367383,83.39152856,Titanium,17.19933142,31.07723823,27.59721329,0.035958403,D,1.404
368.0858047,0.98833627,4.409951089,73.61716095,Copper,31.89507272,34.93097871,27.73647395,0.037134438,E,1.491
378.0532256,0.456384477,4.365834283,75.61064512,Steel,43.97430351,24.75089331,24.55616374,0.031243596,C,1.393
397.071656,0.415110315,1.270101436,79.4143312,Steel,47.6030178,47.89252295,26.11904085,0.02510269,C,1.301
83.32009328,0.695664919,2.311072786,16.66401866,Titanium,9.765761198,32.36959726,23.73519664,0.03284783,D,1.733
211.3095778,0.257341193,4.926449315,42.26191557,Steel,11.96728757,14.89997625,27.019472,0.029925699,C,1.18
102.1410768,0.952463125,3.882861134,20.42821536,Brass,47.51313165,26.56473158,28.35721597,0.033984957,B,1.191
438.3965416,0.797027764,0.233120364,87.67930833,Steel,38.14408528,35.39319967,26.88233277,0.032618414,C,1.078
330.4841571,0.134940452,0.419502497,66.09683141,Copper,44.73472212,19.56331061,25.12582627,0.039595302,E,1.383
198.9041112,0.446701737,2.373263746,39.78082224,Aluminium,14.11846854,8.583872283,24.58657959,0.035177844,A,1.243
78.60125763,0.885162392,4.555179009,15.72025153,Copper,31.4413642,31.25460356,26.42319651,0.031393136,E,1.035
189.9420448,0.947495421,2.73963881,37.98840895,Brass,36.55128175,47.65415759,26.79810892,0.027456723,B,1.402
196.3324949,0.494031436,2.539281289,39.26649898,Titanium,35.60503485,26.82823935,25.58729444,0.034434604,D,1.722
378.3227803,0.63274082,0.61682113,75.66455605,Brass,23.36682609,45.77490863,26.24942275,0.034742778,B,1.501
336.9008621,0.208682249,3.318222513,67.38017242,Steel,5.692770126,42.57606148,20.96588682,0.033942952,C,1.431
449.2457342,0.991610195,4.128305487,89.84914683,Aluminium,31.23167256,11.63357526,29.51765516,0.039422164,A,1.218
262.4967163,0.270088116,1.964058037,52.49934326,Copper,16.38956926,36.86764648,27.90773064,0.028921943,E,1.589
103.8174107,0.945595185,3.90049807,20.76348213,Aluminium,25.26144108,24.59594863,23.7392787,0.032313406,A,1.56
370.9601543,0.667164317,4.825935604,74.19203085,Aluminium,48.09114568,16.26108464,25.62812611,0.036681004,A,0.982
392.3532719,0.627349955,1.09845565,78.47065438,Steel,22.95658929,35.91222601,20.4732453,0.033909166,C,2.057
302.5747389,0.537054085,2.664315193,60.51494778,Titanium,42.7910723,38.41973234,20.41227814,0.035213451,D,1.552
396.935231,0.269136321,1.506975995,79.3870462,Titanium,13.48432726,13.09533434,22.50798335,0.03698603,D,0.911
272.2080184,0.21770163,3.984986653,54.44160367,Aluminium,35.26072241,46.15001069,26.89701642,0.041007402,A,1.449
285.2297732,0.259461899,2.930207493,57.04595464,Brass,48.96531295,38.80162598,28.52147748,0.037365,B,1.003
242.3934583,0.227116349,3.209453846,48.47869165,Steel,9.585189539,47.00189746,25.5918588,0.028309736,C,1.861
61.43860703,0.79060525,4.009779382,12.28772141,Titanium,5.3743974,19.26829484,25.3213274,0.035434463,D,1.654
98.55114215,0.382618996,2.040255316,19.71022843,Titanium,24.51122567,47.27007571,24.02309534,0.04121766,D,1.243
64.14313356,0.104950543,4.583941335,12.82862671,Titanium,9.168146737,21.5832946,21.61597956,0.042842397,D,1.505
336.3846851,0.970647499,2.71184145,67.27693701,Steel,38.67729574,7.428639264,21.18354101,0.043408609,C,1.72
191.4601915,0.889596591,0.873978632,38.2920383,Brass,46.15468987,39.33362249,27.60679761,0.045115498,B,1.806
278.856811,0.931364669,3.509905679,55.7713622,Steel,24.53094377,36.65786648,29.27503551,0.040492086,C,1.182
458.4049133,0.995162432,3.986980617,91.68098265,Brass,16.6420239,31.90599465,24.58283216,0.041506015,B,1.293
162.1815031,0.215200487,1.652132218,32.43630062,Aluminium,24.54814936,27.0452185,26.59445659,0.035410938,A,1.82
234.6723154,0.426429918,4.300178359,46.93446307,Aluminium,37.5551518,6.447437165,29.14457651,0.029897894,A,0.895
389.9980123,0.770326552,4.540101948,77.99960247,Copper,5.407437271,33.10687632,20.90113633,0.033973148,E,1.612
152.9591745,0.711219587,1.456831988,30.59183489,Brass,31.52542953,23.75755769,27.70481453,0.037842164,B,1.029
84.64095942,0.196201111,4.919255216,16.92819188,Aluminium,32.59812582,30.20942312,26.16816884,0.034843119,A,1.278
180.3881538,0.825041469,0.789486487,36.07763076,Steel,33.69597111,24.31946039,25.98637179,0.040467297,C,1.326
122.5495793,0.263218543,1.089876775,24.50991585,Steel,15.8909936,48.47252597,22.92540428,0.039911781,C,1.679
468.3639436,0.262626734,1.002701712,93.67278871,Brass,37.13237255,32.18490055,26.83893355,0.047201648,B,1.139
413.6541708,0.560125702,4.480549579,82.73083416,Brass,9.112616885,38.71563488,27.94797755,0.03795712,B,1.217
335.0316904,0.613292938,3.306033506,67.00633809,Titanium,13.96716514,47.13561264,21.12858165,0.043796003,D,1.656
442.1572656,0.601081897,0.845310988,88.43145312,Copper,44.4861521,31.62196953,25.33521431,0.041284545,E,1.266
411.6524346,0.136912496,2.25758475,82.33048692,Steel,38.24254178,5.542813302,21.01265181,0.038640781,C,1.142
133.9565265,0.883587819,3.114960323,26.7913053,Copper,5.618549931,6.543125524,28.72574019,0.040325407,E,1.564
451.6515493,0.30232004,0.508974016,90.33030986,Titanium,16.17693172,36.60522953,25.07636723,0.033997956,D,1.4
292.7040089,0.173039175,4.423840205,58.54080177,Brass,14.64829173,17.55883113,28.07965689,0.048286279,B,1.556
413.3480698,0.894310676,4.037657324,82.66961396,Brass,17.18628476,31.07208773,23.68085638,0.051846141,B,1.499
453.241085,0.957868923,2.575513191,90.64821699,Steel,16.14018966,14.10247315,21.25078227,0.043787795,C,1.782
193.1015637,0.869021236,4.838920415,38.62031275,Titanium,7.813683308,17.16119938,20.41499304,0.045560726,D,1.525
99.52336604,0.819040271,2.147028798,19.90467321,Brass,25.65232325,27.70884752,22.81509621,0.044226417,B,1.934
152.5708231,0.672479882,4.922140563,30.51416463,Aluminium,37.97300637,48.90062585,22.442337,0.04189554,A,1.202
242.1985049,0.573314502,3.372807994,48.43970098,Titanium,32.30292761,32.73217201,25.60351974,0.049810801,D,1.151
418.1066447,0.132637422,3.209889239,83.62132893,Steel,35.27922509,47.1266647,20.21738838,0.048171918,C,0.945
437.3287625,0.438030552,0.913178987,87.46575249,Brass,8.651713034,48.17209345,25.20570544,0.032306195,B,1.182
53.12845874,0.404054091,4.421446016,10.62569175,Aluminium,47.81708196,14.36494984,23.91771742,0.041984103,A,1.234
279.8362862,0.296766095,2.194699471,55.96725723,Brass,42.73213252,19.00371211,25.7712227,0.037182141,B,1.177
237.8349514,0.737249108,0.894943688,47.56699028,Brass,41.22906433,39.64965265,27.02417528,0.055514809,B,1.433
149.9485147,0.521081948,0.161776848,29.98970294,Aluminium,42.03427123,44.0043801,26.34091945,0.047168884,A,1.734
103.9394153,0.126993905,2.84280285,20.78788306,Titanium,46.97197287,28.36520349,29.84644369,0.049521826,D,1.082
201.9268271,0.259174042,2.684258148,40.38536543,Copper,29.49142848,49.69517303,21.38265344,0.046842133,E,1.598
474.3093668,0.699095825,3.62483275,94.86187335,Steel,14.0126908,5.520748944,24.29737009,0.054412383,C,1.677
195.4413194,0.122324317,4.46226446,39.08826388,Brass,32.75526235,18.4816695,24.24830737,0.053492715,B,1.538
283.4557798,0.858646568,0.489092265,56.69115596,Copper,38.42966722,33.04227892,24.17053204,0.048402084,E,1.39
366.3585315,0.520389201,3.684332803,73.2717063,Titanium,38.2062827,26.11804599,26.63798392,0.058359735,D,1.232
213.6333211,0.506557248,1.018318526,42.72666421,Copper,28.46520609,10.24713349,24.89828061,0.050986651,E,1.408
487.3019372,0.612787395,4.30506756,97.46038744,Copper,8.08064237,21.55041885,25.1743256,0.043049725,E,1.335
483.1012827,0.833446918,4.113411218,96.62025654,Steel,21.70008223,6.145121448,24.32355992,0.051140734,C,1.24
163.3020331,0.380418748,2.749889399,32.66040662,Brass,46.43449738,33.92357207,29.91699461,0.053518134,B,0.973
273.7618277,0.694115345,3.580189713,54.75236553,Brass,31.30020094,45.17341443,29.27561349,0.050555097,B,1.204
185.3952394,0.587445366,1.640315555,37.07904788,Titanium,29.22493745,44.81933557,23.07724189,0.049454096,D,1.574
178.1782225,0.303676857,2.408722705,35.63564449,Titanium,17.09840815,36.47950132,21.11593925,0.060623608,D,1.007
66.59912631,0.884698487,4.126020799,13.31982526,Aluminium,21.5802014,25.9596588,28.39764724,0.04616278,A,0.995
324.3039503,0.807554721,2.350399466,64.86079006,Steel,45.29057401,28.04142284,29.97170251,0.038563813,C,1.453
276.2055605,0.675529243,1.8532115,55.24111209,Aluminium,34.99083714,11.16134708,22.92608894,0.060767943,A,1.285
73.16543806,0.858052643,2.521640992,14.63308761,Brass,40.4324162,20.34576919,23.57784926,0.046832726,B,1.426
175.3909089,0.873929491,4.158421337,35.07818178,Titanium,25.44554404,13.4477634,29.41633181,0.051820163,D,1.544
458.7196487,0.722944828,1.742519432,91.74392974,Copper,33.36112488,41.95400915,27.11129518,0.051656383,E,1.237
157.8028508,0.845162662,0.951431806,31.56057016,Copper,16.17726239,46.16392556,22.95638332,0.059992576,E,1.389
115.2026924,0.712597889,3.5888687,23.04053849,Aluminium,36.74573736,29.16154676,25.81046491,0.061298406,A,1.506
270.2537421,0.696133733,4.147293242,54.05074842,Brass,24.24206002,37.74938182,29.44229579,0.047952537,B,1.763
493.5427043,0.637680809,0.593123645,98.70854087,Aluminium,24.91454817,10.46591469,28.11813107,0.061489253,A,1.664
158.9248722,0.765080808,1.275383153,31.78497444,Aluminium,34.21950461,32.38405895,27.41832714,0.061687047,A,1.393
352.4609963,0.20067485,0.79566275,70.49219927,Steel,47.13262797,36.62559596,27.36996312,0.05538206,C,1.688
392.7288269,0.886827221,1.804912917,78.54576538,Steel,7.880285597,25.37456583,21.78020324,0.060238288,C,1.054
156.9368948,0.878251351,2.306719797,31.38737896,Titanium,42.11344568,15.9472888,28.24681239,0.061030016,D,1.61
377.6973569,0.077784919,3.769249051,75.53947138,Brass,18.15723997,44.48185342,22.76118632,0.054894017,B,1.475
215.5024097,0.834525913,3.290623166,43.10048194,Brass,24.97637545,38.4308924,29.30366658,0.055658614,B,1.346
334.5376238,0.172426374,3.142549981,66.90752475,Steel,5.986099795,45.49357768,23.64639991,0.059683377,C,1.561
335.0883698,0.368362912,1.826637238,67.01767397,Brass,18.5470735,41.82811914,28.57660397,0.048884402,B,1.443
291.0986078,0.756332843,4.22309301,58.21972157,Copper,27.61840592,49.56684933,22.66233495,0.055548284,E,1.68
90.63039652,0.202721901,2.40930712,18.1260793,Titanium,7.527923481,13.64777299,25.14526937,0.051605814,D,1.64
425.886123,0.827068673,4.897614196,85.1772246,Aluminium,27.09930782,8.903649551,21.06885295,0.065015789,A,0.892
194.3510292,0.840527469,3.207296478,38.87020585,Titanium,46.7199783,20.16512561,26.60118903,0.056360275,D,1.33
133.9333297,0.532094347,0.718697234,26.78666594,Aluminium,9.742694815,10.80518788,28.36079275,0.059860347,A,1.918
68.3488137,0.056066578,3.413270054,13.66976274,Titanium,39.39983276,28.54085508,27.18447281,0.057676709,D,1.529
315.9018244,0.322686227,1.693009676,63.18036489,Titanium,23.4351974,33.48630074,25.23258513,0.057641639,D,1.365
354.9039628,0.636080572,3.463003264,70.98079257,Aluminium,34.48281715,31.02298768,20.45115879,0.060404181,A,0.957
57.46452302,0.982126869,0.441241626,11.4929046,Aluminium,16.71064691,16.66580609,29.33441007,0.055986421,A,1.068
280.4418762,0.650222851,0.956919042,56.08837525,Steel,12.17715181,45.89708139,27.05489549,0.058937518,C,1.714
151.9230988,0.296813402,4.293112569,30.38461977,Titanium,12.22081764,5.952756368,27.45864238,0.059191005,D,1.437
340.3277557,0.652305418,1.213179829,68.06555114,Titanium,8.172137554,20.66060092,27.94680576,0.058394434,D,1.788
128.4648931,0.562986111,4.201501514,25.69297861,Steel,13.35410172,37.35466139,27.47743426,0.062756085,C,1.067
360.9219821,0.790853125,1.468452833,72.18439643,Brass,34.88987232,39.51180169,24.41116164,0.058856111,B,1.394
224.0309058,0.151631607,3.250121359,44.80618117,Aluminium,44.67607753,23.7253345,27.33621829,0.069436956,A,1.876
471.5284949,0.772976507,3.50133781,94.30569899,Copper,41.63565585,5.760941597,26.25026788,0.064816492,E,1.183
111.8844249,0.56420325,2.61200829,22.37688497,Aluminium,35.83104394,32.81196556,28.54016334,0.055215412,A,1.662
203.479858,0.964842404,1.596022316,40.69597159,Steel,9.969433853,7.839260653,28.02459815,0.065006642,C,1.651
101.0630846,0.374778558,1.141957444,20.21261691,Aluminium,18.01343508,9.853509927,20.41374382,0.059095144,A,1.35
466.1121282,0.650990798,0.262627837,93.22242565,Copper,18.94130939,34.26128238,23.7888709,0.063511284,E,1.796
444.802709,0.9354267,1.589337366,88.9605418,Aluminium,16.24806259,19.06197468,20.34716152,0.059467146,A,1.148
166.0737325,0.147384242,3.300497674,33.21474649,Aluminium,28.17525469,20.66135687,21.02074925,0.052441394,A,1.726
346.9928207,0.940367063,4.69769361,69.39856414,Copper,29.09992167,26.90631846,26.01410722,0.063595036,E,1.229
417.7499901,0.703491436,4.368901963,83.54999802,Brass,21.05986888,49.03602777,28.73821821,0.056821915,B,1.317
299.8403652,0.114445206,3.853717405,59.96807304,Brass,20.92051214,48.44489993,21.19824759,0.066382861,B,1.764
288.3427603,0.335915389,3.963391982,57.66855205,Copper,42.28500191,23.73174497,24.51089287,0.065448499,E,1.384
158.8335309,0.722763484,3.358426027,31.76670618,Steel,40.51817817,16.94746477,29.10878905,0.061845442,C,1.642
91.89624551,0.113983071,1.375405602,18.3792491,Titanium,18.85081243,18.61664687,28.14300984,0.07428284,D,1.401
453.7470911,0.603061937,4.54525565,90.74941822,Copper,46.12047997,17.09515842,25.19667896,0.059249008,E,1.411
455.1881257,0.378588904,3.386588328,91.03762514,Titanium,47.87667577,28.95106132,27.71571439,0.062614047,D,1.419
334.8956558,0.639869742,2.846159092,66.97913115,Copper,19.70341439,32.30869135,25.22693774,0.060422568,E,1.095
202.563406,0.093454932,0.643848399,40.51268119,Copper,20.9491227,26.99507247,21.58092337,0.076522896,E,1.239
207.1443086,0.877959966,2.290572165,41.42886172,Brass,27.7535369,23.3597463,21.24736113,0.073367827,B,0.967
376.6800555,0.974814521,2.355755529,75.3360111,Copper,47.35043656,14.50782669,21.88368232,0.059786288,E,1.093
453.699617,0.970433963,4.336361687,90.7399234,Brass,44.43437449,26.71275161,23.50922095,0.063059282,B,1.294
449.1888909,0.76216924,2.778576279,89.83777818,Titanium,9.615558316,20.34962212,29.30529268,0.063519184,D,1.158
400.9439956,0.173581928,1.96396269,80.18879913,Aluminium,22.67288345,29.37179583,27.99678414,0.065014133,A,1.398
338.9142408,0.770350036,4.88632161,67.78284815,Titanium,29.90170354,35.3835237,24.32801561,0.062844155,D,1.674
87.86298425,0.073357571,0.642530907,17.57259685,Titanium,27.64096126,33.49904785,24.9307671,0.065319593,D,1.172
122.7329213,0.071017374,2.170487299,24.54658427,Aluminium,13.72383806,25.81205947,22.65609458,0.073663,A,1.197
454.3493848,0.357429708,0.305920908,90.86987697,Aluminium,43.6467547,30.02235909,27.04352956,0.078663491,A,1.697
322.8930768,0.514211031,3.725530192,64.57861537,Copper,35.46233523,17.81852589,28.02765671,0.061497228,E,1.157
54.13867323,0.781887047,4.598575106,10.82773465,Steel,42.70587687,6.090811656,22.38904696,0.064303974,C,1.231
95.66219429,0.699130608,1.472182915,19.13243886,Brass,43.64439257,33.12587544,20.41821624,0.070867597,B,1.546
348.5757961,0.473607571,4.305874216,69.71515922,Titanium,38.67601341,16.36558516,26.23888943,0.062188562,D,1.675
52.27771273,0.309945333,1.531869329,10.45554255,Brass,24.76447706,35.10291695,25.62512119,0.07157754,B,1.147
122.3636231,0.997268275,4.562773792,24.47272463,Aluminium,32.47460398,38.61538248,24.02131155,0.073371185,A,1.442
296.9302052,0.454872237,3.794413328,59.38604104,Titanium,12.21644328,46.21674857,26.43893942,0.074464224,D,1.013
361.352839,0.478817673,4.044043207,72.27056779,Copper,35.31404379,48.1155258,25.50613298,0.073811974,E,1.487
343.3825668,0.20544263,0.188232122,68.67651336,Titanium,13.06639651,5.473672084,22.50581577,0.068865299,D,1.369
150.9211893,0.805069071,4.81777075,30.18423785,Aluminium,36.22773157,49.56683942,23.97728976,0.070923484,A,1.475
370.4806496,0.708998114,3.660687861,74.09612992,Steel,15.33191723,35.73582433,24.2811357,0.066224484,C,1.801
156.7620894,0.259731132,1.593280367,31.35241787,Steel,10.28980851,33.95858722,28.80247994,0.074734106,C,1.145
196.4298642,0.128261993,4.164033858,39.28597283,Aluminium,12.43780206,5.684589284,29.60904154,0.080719504,A,1.251
385.9211323,0.696474337,1.479453872,77.18422646,Copper,5.089646085,43.75550353,28.93001362,0.075303997,E,1.311
342.3348046,0.671785654,4.376493814,68.46696091,Brass,37.3432828,11.54711513,27.19178024,0.06980828,B,1.353
432.1505347,0.309596551,0.651643913,86.43010694,Copper,37.95804721,42.67985693,25.84992734,0.078547533,E,1.348
345.9258015,0.953320384,3.54806129,69.18516031,Aluminium,28.17200075,5.700314582,26.89261635,0.085692097,A,1.091
305.7388715,0.193504997,2.749422536,61.1477743,Copper,12.26132605,34.06839181,29.39109221,0.075369903,E,1.322
92.15364552,0.460718061,0.573018904,18.4307291,Aluminium,8.759945188,24.56606902,22.49998735,0.077216809,A,1.491
215.4721114,0.946435124,1.285279758,43.09442228,Aluminium,5.86080349,14.03450281,25.35120508,0.07812324,A,1.395
169.3410655,0.448740951,0.160779778,33.86821309,Brass,12.45866796,9.84026263,26.89608019,0.067002739,B,1.794
159.7953395,0.65659965,2.396963031,31.9590679,Brass,45.08849907,24.80574634,26.79247001,0.073259704,B,1.836
487.8547496,0.427714678,1.576199778,97.57094993,Aluminium,15.86915788,10.54876124,22.5227896,0.073036273,A,1.004
226.8939761,0.310504442,3.031951673,45.37879522,Steel,20.94220972,26.89009753,25.86731527,0.080070229,C,1.359
451.4209498,0.984778766,1.556465258,90.28418997,Aluminium,9.740546802,33.13476764,27.95913142,0.079778033,A,1.606
334.0123817,0.438867306,1.569603646,66.80247634,Steel,15.00625871,42.23228871,24.7507898,0.075872793,C,1.512
407.6650866,0.899394243,3.741646674,81.53301732,Aluminium,28.36510569,35.53922467,27.93298077,0.073897376,A,1.85
276.1866919,0.268456876,0.335899896,55.23733838,Brass,32.34887074,7.933989502,23.59882598,0.068624077,B,0.985
309.6067481,0.252449469,4.524185476,61.92134962,Brass,16.04085414,18.83446396,29.38760127,0.077270285,B,1.958
271.6329622,0.079577379,4.276092985,54.32659244,Steel,7.597947165,17.95903736,25.3392844,0.072864797,C,1.219
137.8593445,0.669083484,3.372242948,27.5718689,Titanium,22.59647911,46.17645906,25.95947951,0.072535421,D,1.341
